fips,state,county,rate_mort_period1,rate_vaccination
12133,Florida,Washington,0.11454301287621454,0.29212418042499405
13001,Georgia,Appling,0.2277163305139883,0.14709390587725005
13009,Georgia,Baldwin,0.16895362907828948,0.15187561359848398
13011,Georgia,Banks,0.07762683670640422,0.15325755475464375
13013,Georgia,Barrow,0.07185198491108317,0.19614394347643854
13015,Georgia,Bartow,0.10192743868284039,0.16432355993057915
13017,Georgia,Ben Hill,0.23263929277654993,0.1359195068046993
13019,Georgia,Berrien,0.16519823788546256,0.19812775330396476
13021,Georgia,Bibb,0.15761442934678987,0.23928158326236448
13025,Georgia,Brantley,0.10543255091282391,0.13573053659619333
13027,Georgia,Brooks,0.1840377890926937,0.29826391018955895
13029,Georgia,Bryan,0.04023425276051679,0.29777817515311367
13031,Georgia,Bulloch,0.06905140630587307,0.2593496837198979
13033,Georgia,Burke,0.06505122784192552,0.3783948609530005
13035,Georgia,Butts,0.18479201069434614,0.14008807108594795
13039,Georgia,Camden,0.03834355828220859,0.43246056091148116
13045,Georgia,Carroll,0.08644710779870413,0.2338268372108638
13047,Georgia,Catoosa,0.05156765676567656,0.18309464875058934
13051,Georgia,Chatham,0.07450277861499334,0.43503527029269434
13055,Georgia,Chattooga,0.15621870618866412,0.14856799519327057
13057,Georgia,Cherokee,0.045007876378366216,0.29407021228715025
13059,Georgia,Clarke,0.045076202096820575,0.23577962400230043
13063,Georgia,Clayton,0.07123775601068566,0.2080176078227121
13067,Georgia,Cobb,0.06956871313543449,0.38932635818881184
13069,Georgia,Coffee,0.18796992481203006,0.2802144249512671
13071,Georgia,Colquitt,0.11329469693668569,0.2066974595842956
13073,Georgia,Columbia,0.05768860970450612,0.2663226716236139
13075,Georgia,Cook,0.11608334784375181,0.35527308607580244
13077,Georgia,Coweta,0.05268271322815036,0.2865050151206229
13081,Georgia,Crisp,0.17885532591414946,0.21169515103338632
13083,Georgia,Dade,0.049227739831394994,0.20903329025906098
13085,Georgia,Dawson,0.041047839390999326,0.13083065900440333
13087,Georgia,Decatur,0.16004358633840704,0.3487928627370858
13089,Georgia,DeKalb,0.06449654753774944,0.31988717683043294
13091,Georgia,Dodge,0.2860727728983689,0.11944792973651192
13095,Georgia,Dougherty,0.2412868632707775,0.2477444923650775
13097,Georgia,Douglas,0.07071694502797479,0.292802817584947
13103,Georgia,Effingham,0.0524942487918603,0.22509225092250923
13105,Georgia,Elbert,0.15786525436675664,0.19325762591027143
13107,Georgia,Emanuel,0.2152143359100492,0.2930867884750527
13111,Georgia,Fannin,0.15008491646589517,0.21774161696749478
13113,Georgia,Fayette,0.05537191469369263,0.33475678305955
13115,Georgia,Floyd,0.10346506532500203,0.1810030025156212
13117,Georgia,Forsyth,0.027061122320252463,0.2229637500348213
13119,Georgia,Franklin,0.10672814207650275,0.14771174863387979
13121,Georgia,Fulton,0.07030964367072587,0.2978494623655914
13123,Georgia,Gilmer,0.10525308582910727,0.13909354766688994
13127,Georgia,Glynn,0.15148108261636234,0.45656161611380014
13129,Georgia,Gordon,0.10426803837063811,0.16135478937856249
13131,Georgia,Grady,0.12196981247141334,0.18486049702698581
13133,Georgia,Greene,0.14803066349458102,0.39191118160190325
13135,Georgia,Gwinnett,0.059034837868393066,0.3054044565555836
13137,Georgia,Habersham,0.18248571614781342,0.19115378766483457
13139,Georgia,Hall,0.10288673597983616,0.3008083254568368
13143,Georgia,Haralson,0.10361308867274975,0.1515090745011531
13145,Georgia,Harris,0.08076612437983154,0.21180916118610824
13147,Georgia,Hart,0.11615301223478396,0.27524392132569303
13151,Georgia,Henry,0.060653394928379144,0.2096322576356808
13153,Georgia,Houston,0.0690569750600429,0.345682105687728
13157,Georgia,Jackson,0.08299629810162436,0.23914790467282332
13163,Georgia,Jefferson,0.2546311031892546,0.3191800878477306
13169,Georgia,Jones,0.08466504391999154,0.24778636187250855
13171,Georgia,Lamar,0.15675675675675677,148
13175,Georgia,Laurens,0.24409925358079482,0.23847084930401452
13177,Georgia,Lee,0.09950848837559931,0.16729487682055302
13179,Georgia,Liberty,0.047505210248866,0.3930519798945691
13183,Georgia,Long,0.030925284512617515,0.09203364670954972
13185,Georgia,Lowndes,0.11078130417501754,0.26712670505957664
13187,Georgia,Lumpkin,0.059722885809842335,0.11302556139512661
13189,Georgia,McDuffie,0.10632396449704141,0.18740754437869822
13195,Georgia,Madison,0.07636122177954847,0.22543160690571049
13199,Georgia,Meriwether,0.09217484111968174,0.25217096007373985
13205,Georgia,Mitchell,0.23902551137669503,0.21916800735463113
13207,Georgia,Monroe,0.21819222377222164,0.12551418249454518
13211,Georgia,Morgan,0.0398069363586605,0.2247101557446385
13213,Georgia,Murray,0.08005403647462037,0.1627098291346659
13215,Georgia,Muscogee,0.09762132591024637,0.30822242197543037
13217,Georgia,Newton,0.09957060177982452,0.18010721620155934
13219,Georgia,Oconee,0.08851886408765759,0.26672886911170124
13223,Georgia,Paulding,0.05395438186658445,0.2036985432316896
13225,Georgia,Peach,0.10364175690647225,0.14642078553304028
13227,Georgia,Pickens,0.0541907514450867,0.14812138728323698
13229,Georgia,Pierce,0.15723270440251574,0.24513085818624467
13231,Georgia,Pike,0.08999947059134947,0.15262851394991794
13233,Georgia,Polk,0.09334235642778803,0.15268475952675425
13237,Georgia,Putnam,0.14060869959631694,0.13779652560439062
13241,Georgia,Rabun,0.0829236510098916,0.2738849730498134
13245,Georgia,Richmond,0.11374251598445356,0.3368375708470671
13247,Georgia,Rockdale,0.07267286523458373,0.18261194827401944
13255,Georgia,Spalding,0.13371764775800077,0.1651264374647134
13257,Georgia,Stephens,0.18294504181600957,0.13661140979689368
13261,Georgia,Sumter,0.24311183144246357,0.386547811993517
13267,Georgia,Tattnall,0.1488486122055862,0.1589177830312582
13275,Georgia,Thomas,0.18123062142451635,0.23732477400759858
13277,Georgia,Tift,0.1910797213622291,0.20936532507739938
13279,Georgia,Toombs,0.25897151313355526,0.21083980762116167
13285,Georgia,Troup,0.18148820326678766,0.21836199694638897
13291,Georgia,Union,0.16239038648911985,0.14399967521922702
13293,Georgia,Upson,0.2888086642599278,0.3503971119133574
13295,Georgia,Walker,0.08277411535164218,0.2442723268395069
13297,Georgia,Walton,0.0879252738613677,0.2287919067371448
13299,Georgia,Ware,0.22344211194173955,0.23279357810819012
13303,Georgia,Washington,0.20012007204322593,0.15719431658995398
13305,Georgia,Wayne,0.16255307855626328,0.30977972399150744
13311,Georgia,White,0.09998928686212191,0.13116451808734778
13313,Georgia,Whitfield,0.0972157411728107,0.23096515787836366
13321,Georgia,Worth,0.1924557351809084,0.1698903002309469
15001,Hawaii,Hawaii,0.021432594490327916,2.9905945800457563e-4
15003,Hawaii,Honolulu,0.02075733786649982,5.548406898912749e-4
15007,Hawaii,Kauai,0.0013642937051488444,0
15009,Hawaii,Maui,0.010318414120446241,4.552241523726283e-4
16001,Idaho,Ada,0.05879179824109486,0.5087834138437513
16005,Idaho,Bannock,0.0528626261233308,0.4246247902732768
16011,Idaho,Bingham,0.07084514085680946,0.37789631605267543
16013,Idaho,Blaine,0.04119973632168754,0.6482778510217535
16017,Idaho,Bonner,0.02547229887497347,0.360645298238166
16019,Idaho,Bonneville,0.07179503726888452,0.40659384982736924
16027,Idaho,Canyon,0.07831937863741589,0.36697604984747195
